split,model,horizon,mae,wape,bias,n
holdout,seasonal_naive,15,8.2,0.19047619047619047,0.4,20
holdout,seasonal_naive,16,9.1,0.2116279069767442,-1.4,20
holdout,seasonal_naive,17,10.15,0.21323529411764705,-0.55,20
holdout,seasonal_naive,18,10.05,0.19667318982387474,-0.75,20
holdout,seasonal_naive,19,10.8,0.18045112781954886,-0.5,20
holdout,seasonal_naive,20,12.2,0.18154761904761904,1.2,20
holdout,seasonal_naive,21,10.6,0.17860151642796968,2.2,20
holdout,seasonal_naive,22,7.3,0.17156286721504113,0.9,20
holdout,seasonal_naive,23,8.15,0.19951040391676866,0.75,20
holdout,seasonal_naive,24,10.8,0.22291021671826625,-1.4,20
holdout,seasonal_naive,25,7.6,0.15215215215215216,0.4,20
holdout,seasonal_naive,26,10.5,0.18502202643171806,2.6,20
holdout,seasonal_naive,27,12.5,0.18011527377521613,-1.0,20
holdout,seasonal_naive,28,10.3,0.16284584980237155,-1.7,20
validation,ml,1,4.544070546064719,0.11219927274233875,0.1651235234759274,40
validation,ml,2,5.37986844744303,0.12718365123978795,-0.5921113466092296,40
validation,ml,3,6.843674918204963,0.15065877640517253,-3.9211706705803167,40
validation,ml,4,7.233981505221718,0.15008260384277422,-3.666401257909066,40
validation,ml,5,9.365993149800639,0.1618314151153458,-5.556500559590399,40
validation,ml,6,11.436684549546914,0.16527000794142938,-7.197513678312876,40
validation,ml,7,9.310790289585865,0.14921138284592733,-7.028425703642259,40
validation,ml,8,6.21920555468038,0.1479882344956664,-3.72436118443065,40
validation,ml,9,8.509669017748525,0.19165921211145326,-5.187368627112221,40
validation,ml,10,7.965387559723584,0.1688476430254072,-5.868415917895769,40
validation,ml,11,9.784184111827201,0.19597764870960843,-5.698620307964212,40
validation,ml,12,9.894106927402778,0.16791017271790884,-7.001076890417731,40
validation,ml,13,11.197223438578368,0.16340347958523704,-7.059441288554764,40
validation,ml,14,9.410028010791356,0.15631275765434147,-5.2913736362357415,40
validation,ml,15,7.538495181257618,0.18286222392377482,-3.267752473261203,40
validation,ml,16,6.21301503356211,0.14998225790131828,-2.5762990401563313,40
validation,ml,17,8.241794060865242,0.1799518353900708,-4.896703708528371,40
validation,ml,18,7.821826607383052,0.15659312527293398,-6.204393815301572,40
validation,ml,19,9.625924454470313,0.1646864748412372,-7.300395059373512,40
validation,ml,20,11.741072015097428,0.16930168731214748,-8.518968643943861,40
validation,ml,21,9.627209498554295,0.15434404005698268,-7.976178000199856,40
validation,ml,22,7.643091706768852,0.18122327698325674,-4.569044785483848,40
validation,ml,23,7.250865815038894,0.17192331511651202,-3.743867977538264,40
validation,ml,24,7.997461170502635,0.1707946859690899,-6.3271953132628225,40
validation,ml,25,8.297552691165457,0.16830735681877196,-5.895406306549593,40
validation,ml,26,10.196631702104346,0.17489934308926838,-7.377959318421718,40
validation,ml,27,12.75356890793402,0.18324093258525892,-8.895324759205101,40
validation,ml,28,10.230611399230053,0.1673035388263296,-6.84856596378909,40
validation,seasonal_naive,1,7.9,0.19506172839506172,-0.2,40
validation,seasonal_naive,2,6.95,0.16430260047281323,-0.7,40
validation,seasonal_naive,3,7.9,0.17391304347826086,-1.25,40
validation,seasonal_naive,4,7.6,0.15767634854771784,-0.25,40
validation,seasonal_naive,5,9.275,0.16025917926565875,-1.125,40
validation,seasonal_naive,6,11.75,0.16979768786127167,-0.2,40
validation,seasonal_naive,7,9.525,0.15264423076923078,-4.825,40
validation,seasonal_naive,8,7.825,0.18619869125520525,-1.725,40
validation,seasonal_naive,9,8.2,0.18468468468468469,-2.8,40
validation,seasonal_naive,10,9.15,0.19395866454689983,-3.0,40
validation,seasonal_naive,11,8.775,0.1757636454682023,-1.975,40
validation,seasonal_naive,12,10.225,0.1735256682223165,-2.175,40
validation,seasonal_naive,13,11.575,0.16891645384896023,0.475,40
validation,seasonal_naive,14,9.975,0.16569767441860464,-2.625,40
validation,seasonal_naive,15,10.175,0.24681625227410553,-0.925,40
validation,seasonal_naive,16,7.825,0.18889559444779722,0.175,40
validation,seasonal_naive,17,9.075,0.19814410480349345,-1.625,40
validation,seasonal_naive,18,8.1,0.16216216216216217,-2.0,40
validation,seasonal_naive,19,8.55,0.14627887082976904,-1.7,40
validation,seasonal_naive,20,11.6,0.167267483777938,-0.35,40
validation,seasonal_naive,21,9.9,0.15871743486973947,-4.8,40
validation,seasonal_naive,22,8.925,0.21161825726141079,-1.875,40
validation,seasonal_naive,23,9.125,0.2163604030823948,-0.575,40
validation,seasonal_naive,24,11.25,0.2402562733582488,-2.65,40
validation,seasonal_naive,25,9.4,0.19066937119675456,-1.35,40
validation,seasonal_naive,26,11.0,0.18867924528301888,-1.55,40
validation,seasonal_naive,27,13.95,0.20043103448275862,-0.6,40
validation,seasonal_naive,28,13.025,0.21300081766148815,-3.575,40
